id,fecha,cantidad,tipotrans,cuentaorigen,cuentadestino,dateCreated,lastUpdated
837688,2019-09-12,236378.0835081885,g31,ZwgkpjQc5JtvOk7CaCnLeSB3NMyh2R8AeveyFdp48xF0zVGub7GHLPAKTWZbNpV739Xa5AwEk4EMGnEFkG1hL4Bj72Lzl86p59OeUXbuuqiS6HxWkaJjvNMa0qwmg5Fny3zxciXgeC75owGtKMKyM1erfLy6,Q2COm2tcZ9BnbsUcrn0mlZJdXN7Cf5xawO5sZd81BRmMjWaHp0flQJ0BbrQIUnYxZYkVlpfi6CcphdS5LZpkeRQ7nzCjQUxUTXGuRWd4SDVivmn1tFwywBYrxAhZHvDSGkrTfuzs2Gjb6sh3VMAqO8MAGbN0h3FpAxjIYAZdCplsL,2022-03-22 02:51:05.454586,2019-08-11 23:03:48.933649
722930,2019-05-13,738756.4439028926,5x,8eeYoJJ8TfYGFY7H4ZhIAOBfTWBgWf206qpFwNXjuPir5NQACEwmsYnOwMEDWZdkUmC536OOagCHtaPMFvQDs9Y3cjHwIz7OzRmpJAa4MFGnvvyKDX8tLBEohAjynJwRvOXxFo8gmCbMqjFcPJlFZ0oxgIT3Ts6OUtSOzQCviLS4NUPgnqFcgM6RqBvSbz1wFyYQU1FHPCsgqPd6bnAQUBW3cnoVMx,XUIEYVSg0OQDzxBOuEHHcDe6LZ2LE4ZzPP2iEHiGOV5LefkW3OjEk2LPvVIe3tQRyJ6YTw1bBewLXXsaT4incquhyXws3zC8QMlHI0nLMqPBmlRISq9szkA7,2021-12-13 22:14:31.683527,2023-03-17 11:45:46.104869
829877,2019-09-17,715166.282053427,1gV,MZPnxqQNE70LAez2pnOz3Q3aMTl7LnneO7qyZdyeVd97hxyVH7eGTrwUbXs0ahv,2ZZzPNYn6k0A2RvRwLAXU3fZZ6BKSMy1TBVl1O63P97kZYUvhD5KqesbIuVH99h4yYeeww35mYdJxwzFrg1WSfCRJqL0M08b5sgCNxJRG76ANMVEuJauk1r7pN6yFhbtpemypeJwtutSWi6NJZJ7XMeOU1g8p5ACnnHxg6w3UQbo8Q8GEOtBhL,2020-12-22 00:48:21.092285,2021-01-18 01:37:25.746660
805245,2019-10-01,235887.68171843953,MNI,6ktgODnNsZWyd26SFd9rxL4POYl93DVS7kgljgvB9HZGQApHPhTXebX4m4Rkzs3dKHYl6z2YXcFgfIqLLec7Q3iFcNq6RHKr5nnx9bcbAdWWGTC4GWfgGCBMwX4H59M,7WNcgcwwQY8F6aepREzUsNWIniJTuZP6LExilbocUkCyZLx7MThEYiArHJdotA8f3WDM0EKV3vAnWOI28,2019-03-17 02:51:57.076704,2021-01-30 22:55:57.846809
806345,2019-11-29,777313.1226922274,4MfJqYL,G9z2IFdOKaA01W2aajqKeV2ymP6azphANK1roxUf1jTEjHkf98GJ6MsGir3Sh06ZpPcsteETwZQWbwJSNZkHDJrOM6AqtFTT8yxUcm5TERChUk7LeDWDKwAt4dvmRFnSqbpZOkJdnRp9DFchHUZXlQDJirrBUBhw,HBeReud3xzcInbBYe7Iu9eYoqwScufz2EBON0dfu680FTgTTVqgg4wtKJXjlXckQPGb,2021-09-05 21:52:02.326918,2023-01-05 11:00:52.200026
224245,2022-10-01,132195.3360935062,JMqadVwTN,g7PNqSfZoERLoxHvkJjRgkTDb5qBqiVS0qYXDVLk6kRhZZFyW7X84nNrxbQy7WyjY92a2kP4ANMq8JziwbMpORFI3pjYOHQgC9cJxJz1qfI94MYbOBEv9BVUxHRzcSY59C1IWXviATsjPM0YV,fj83TGyBF58ismDZqS1lNpxoBs6by7GHaScjt,2019-02-04 01:56:46.436516,2022-10-14 06:44:26.745474
609867,2019-03-23,46047.15828022778,Ie1xrxn,Dhn8y0fFTsNJK0Ip8mIGAd6JfwUyV5lPfHLpoBHcasApD4u945UMpbsXCRzIljvf2LMWtOasdKaiIY9jXe3Wg9ZtHA0ccdQEPD5Y4V97V4pZmnXHMvLe7h1MXlkUO06uS2wcoaJumBAv1zlNOriJ9b7Qvt,OhIS2rLsPiQcCRUNOijn3NihTwwTtYmQIm7syyjrPHqh9giL32hOl8uoiCmWj7wvz3uyC3RhGpcJQnrV40dBrB8Y4E5XXsssRqHnegy6bCoMzLDOwfwr7RdVjUbA9UzQoUgiaJi7sEkrCRrGEP7Hmk4sb3WtUzK4gnws0vDtbrD,2020-10-28 03:21:19.954700,2020-06-25 04:34:06.640267
983870,2021-03-23,533814.9685721092,s9QQ,Q74Z0S4B9yjXKCI4OAgv2uQYM6YPo2RPRQHND9,7X2WbbHaVeLy6UpQB5G54yJPSf6Ge1gCAwCII2EiWxAdEDcGKj6KfmbteVQlAxPXccQSHtb5zHgHETrDr5QuJKnjZY969J7lAebkUlZYUWaGFN6KDKrRxDbj0b3wbNIDnXFDJKaHVXn7B2YiFuT284KHi2,2021-02-09 12:44:41.989508,2023-10-06 00:21:41.753441
12935,2021-02-22,959319.2469007735,rsCwGOFLv,fTDDI6HL7IslKmxUhCXSMHDgVCID3zwhsl0Lau8RDlaA2wgjy8wc7L58tgV5HybciHDVJNWzW5mrGpUn9RQ6auXH00h3WVBenNaj0YQ2qs0KSAgJorZSBWrAUB7eRCGK89Em95dM0lDte3J8PIc9uYMk6SPEF1BKNYSwB18YAz7STXdYvGYb0HBDY4ivSs9uP5wfU7qwbbVpPoAyjUgzJzF1FhUqaVPNFcF,kxMZ2RE1nYECdRmeclUjHkFHqBhHqNlMxlqVpJSS8hAlhwGkC4Lsub4WRUpzCNjW5sgy3K1E,2020-10-08 03:54:32.359516,2020-07-29 09:30:06.726422
989571,2023-05-17,117786.25229132753,kWuKCkn,gujx7oakKGa,oIQSZidxtQx7No799DKivBZuyXcmRfXCifDdMfZkENCcxA5phVV9vzqblEMPdV764LF0qtDUhyn6MSFhmbYr75HYSdockQfccQZQknTFbEUDPNrwWH5fq3SRXk2QSTsrxvJ448P338NYuykRHlSrlQvmVJ0y9IN5YBXKZBUZfq8oM7qMPNb9FTCtPaT6KokIU8QhgEWs6z9WmcESwATP7H8NbLqf5InzeUS7wmMe1,2020-08-11 02:20:15.980515,2022-09-08 05:30:10.302081
